Author/s,Title,Date Published,Abstract,DOI,Policy Area,Partner Organisation,Pre-analysis Plan,Reference ,Experiment type,Design,Sample size (or clusters if individuals not given),Result,Data used,Link,Notes if we like it,Example used by AM Leigh,Source,AM reference,Citation,Unnamed: 20,Q1,Q2,Q3,Q4,Q5,Q6
"Wen LM, Baur LA, Simpson JM, et al. ","Sustainability Of Effects Of An Early Childhood Obesity Prevention Trial Over Time: A Further 3-Year Follow-Up Of The Healthy Beginnings Trial,",2015,"Little evidence exists on whether effects of an early obesity intervention are sustainable.

Objective  To assess the sustainability of effects of a home-based early intervention on children‚Äôs body mass index (BMI) and BMI z score at 3 years after intervention.

Design, Setting, and Participants  A longitudinal follow-up study of the randomized clinical Healthy Beginnings Trial was conducted with 465 participating mothers consenting to be followed up at 3 years after intervention until their children were age 5 years. This study was conducted in socially and economically disadvantaged areas of Sydney, Australia, from March 2011 to June 2014.

Interventions  No further intervention was carried out in this Healthy Beginnings Trial phase 2 follow-up study. The original intervention in phase 1 comprised 8 home visits from community nurses delivering a staged home-based intervention, with one visit in the antenatal period and 7 visits at 1, 3, 5, 9, 12, 18, and 24 months after birth.

Main Outcomes and Measures  Primary outcomes were children‚Äôs BMI and BMI z score. Secondary outcomes included dietary behaviors, quality of life, physical activity, and TV viewing time of children and their mothers.

Results  In total, 369 mothers and their children completed the follow-up study, a phase 2 completion rate of 79.4% (80.9% for the intervention group and 77.7% for the control group). The differences between the intervention and control groups at age 2 years in children‚Äôs BMI and BMI z score disappeared over time. At age 2 years, the difference (intervention minus control) in BMI (calculated as weight in kilograms divided by height in meters squared) was ‚àí0.41 (95% CI, ‚àí0.71 to ‚àí0.10; P‚Äâ=‚Äâ.009), but by age 5 years it was 0.03 (95% CI, ‚àí0.30 to 0.37). No effects of the early intervention on dietary behaviors, quality of life, physical activity, and TV viewing time were detected at age 5 years.

Conclusions and Relevance  The significant effect of this early life home-visiting intervention on child BMI and BMI z score at age 2 years was not sustained at age 5 years without further intervention. Obesity prevention programs need to be continued or maintained during the early childhood years.",10.1001/jamapediatrics.2015.0258,Public Health; Childhood obesity,,,,,,,,,Link,,,Original database,,"Wen LM, Baur LA, Simpson JM, et al. Sustainability of Effects of an Early Childhood Obesity Prevention Trial Over Time: A Further 3-Year Follow-up of the Healthy Beginnings Trial. JAMA Pediatr. 2015;169(6):543‚Äì551.","Li Ming Wen, MD, MMed, PhD1,2,3; Louise A. Baur, MBBS, PhD1,4; Judy M. Simpson, PhD1; Huilan Xu, MBiostat, MPH1; Alison J. Hayes, PhD1; Louise L. Hardy, MPH(Hons), PhD1; Mandy Williams, MHP2; Chris Rissel, PhD1",Public Health,This is a full study with results.,Field experiment,A regular RCT,465,"The study initially showed statistically significant results at age 2 years, with a"
"Mazerolle, L., Bates, L., Bennett, S., White, G., Ferris, J., & Antrobus, E.¬†","Optimising The Length Of Random Breath 
Tests: Results From The Queensland Community 
Engagement Trial",2015,"Research suggests that the length and quality of police‚Äìcitizen encounters affect policing outcomes. The Koper Curve, for example, shows that the optimal length for police presence in hot spots is between 14 and 15 minutes, with diminishing returns observed thereafter. Our study, using data from the Queensland Community Engagement Trial (QCET), examines the impact of encounter length on citizen perceptions of police performance. QCET involved a randomised field trial, where 60 random breath test (RBT) traffic stop operations were randomly allocated to an experimental condition involving a procedurally just encounter or a business-as-usual control condition. Our results show that the optimal length of time for procedurally just encounters during RBT traffic stops is just less than 2 minutes. We show, therefore, that it is important to encourage and facilitate positive police‚Äìcitizen encounters during RBT at traffic stops, while ensuring that the length of these interactions does not pass a point of diminishing returns.",10.1177/0004865814532661,Crime,Queensland Police Service,,,,,,,,,,,Original database,,"Mazerolle, L., Bates, L., Bennett, S., White, G., Ferris, J., & Antrobus, E. (2015). Optimising the length of random breath tests: Results from the Queensland Community Engagement Trial.¬†Australian and New Zealand Journal of Criminology, 48(2), 256‚Äì276.¬†https://doi.org/10.1177/0004865814532661",,Policing,This is a full study with results.,Field experiment,Clustered RCT,60,The description does not specify whether the study showed statistically significant results. It mentions
"Hunter K, Keay L, Simpson JM, Brown J, Bilston LE, Fegan M, Cosgrove L, Stevenson M, Ivers RQ. ","Program Fidelity Measures Associated With 
An Effective Child Restraint Program: Buckle-Up Safely",2015,"Objectives: We sought to identify the program fidelity factors associated with successful implementation of the Buckle-Up Safely program, targeting correct use of age-appropriate child car restraints.

Methods: In 2010, we conducted a cluster randomized controlled trial of 830 families with children attending preschools and long day care centers in South West Sydney, New South Wales, Australia. Families received the Buckle-Up Safely program in the intervention arm of the study (13 services). Independent observers assessed the type of restraint and whether it was used correctly.

Results: This detailed process evaluation showed that the multifaceted program was implemented with high fidelity. Program protocols were adhered to and messaging was consistently delivered. Results from multilevel and logistic regression analyses show that age-appropriate restraint use was associated with attendance at a parent information session hosted at the center (adjusted odd ratio [AOR]=3.66; 95% confidence interval [CI]=1.61, 8.29) and adversely affected by the child being aged 2 to 3 years (AOR=0.14; 95% CI=0.07, 0.30) or being from a family with more than 2 children (AOR=0.34; 95% CI=0.17, 0.67).

Conclusions: Findings highlight the importance of parents receiving hands-on education regarding the proper use of age-appropriate child restraints.",10.2105/AJPH.2014.302308,Transport; Road safety,"Roads and Traffic 
Authority (NSW)",,,,,,,,,,,Original database,,"Hunter K, Keay L, Simpson JM, Brown J, Bilston LE, Fegan M, Cosgrove L, Stevenson M, Ivers RQ. Program fidelity measures associated with an effective child restraint program: Buckle-Up Safely. Am J Public Health. 2015 Mar;105(3):584-90. doi: 10.2105/AJPH.2014.302308",,Child Safety,This is a full study with results.,Field experiment,A clustered RCT,830,"Yes, the study showed statistically significant results. Attendance at a parent information session"
"Taft, A.J., Hooker, L., Humphreys, C.¬†et al.",Maternal And Child Health Nurse Screening And Care For Mothers Experiencing Domestic Violence (Move): A Cluster Randomised Trial,2015,"Background
Mothers are at risk of domestic violence (DV) and its harmful consequences postpartum. There is no evidence to date for sustainability of DV screening in primary care settings. We aimed to test whether a theory-informed, maternal and child health (MCH) nurse-designed model increased and sustained DV screening, disclosure, safety planning and referrals compared with usual care.

Methods
Cluster randomised controlled trial of 12 month MCH DV screening and care intervention with 24 month follow-up.

The study was set in community-based MCH nurse teams (91 centres, 163 nurses) in north-west Melbourne, Australia.

Eight eligible teams were recruited. Team randomisation occurred at a public meeting using opaque envelopes. Teams were unable to be blinded.

The intervention was informed by Normalisation Process Theory, the nurse-designed good practice model incorporated nurse mentors, strengthened relationships with DV services, nurse safety, a self-completion maternal health screening checklist at three or four month consultations and DV clinical guidelines. Usual care involved government mandated face-to-face DV screening at four weeks postpartum and follow-up as required.

Primary outcomes were MCH team screening, disclosure, safety planning and referral rates from routine government data and a postal survey sent to 10,472 women with babies ‚â§ 12 months in study areas. Secondary outcomes included DV prevalence (Composite Abuse Scale, CAS) and harm measures (postal survey).

Results
No significant differences were found in routine screening at four months (IG 2,330/6,381 consultations (36.5 %) versus CG 1,792/7,638 consultations (23.5 %), RR = 1.56 CI 0.96‚Äì2.52) but data from maternal health checklists (n = 2,771) at three month IG consultations showed average screening rates of 63.1 %. Two years post-intervention, IG safety planning rates had increased from three (RR 2.95, CI 1.11‚Äì7.82) to four times those of CG (RR 4.22 CI 1.64‚Äì10.9). Referrals remained low in both intervention groups (IGs) and comparison groups (CGs) (<1 %).

2,621/10,472 mothers (25 %) returned surveys. No difference was found between arms in preference or comfort with being asked about DV or feelings about self.

Conclusion
A nurse-designed screening and care model did not increase routine screening or referrals, but achieved significantly increased safety planning over 36 months among postpartum women. Self-completion DV screening was welcomed by nurses and women and contributed to sustainability.

Trial registration
Australian New Zealand Clinical Trials Registry, ACTRN12609000424202, 10/03/2009",10.1186/s12916-015-0375-7,Health Domestic Violence,,,,,,,,,,,,Original database,,"Angela J. Taft, Leesa Hooker, Cathy Humphreys, Kelsey Hegarty, Ruby Walter, Catina Adams, Paul Agius & Rhonda Small.¬†Maternal and child health nurse screening and care for mothers experiencing domestic violence (MOVE): a cluster randomised trial.¬†BMC Med¬†13, 150 (2015). https://doi.org/10.1186/s12916-015-0375-7",,Healthcare Policy,This is a full study with results.,Field experiment,A clustered RCT,"The sample size is 10,472 women.",The study did not show statistically significant results for routine screening or referrals. However
"Burford et al.,",Internet-Based Photoaging Within Australian Pharmacies to Promote Smoking Cessation: Randomised Controlled Trial,2013,"Background:
Tobacco smoking leads to death or disability and a drain on national resources. The literature suggests that cigarette smoking continues to be a major modifiable risk factor for a variety of diseases and that smokers aged 18-30 years are relatively resistant to antismoking messages due to their widely held belief that they will not be lifelong smokers.

Objective:
To conduct a randomized controlled trial (RCT) of a computer-generated photoaging intervention to promote smoking cessation among young adult smokers within a community pharmacy setting.

Methods:
A trial was designed with 80% power based on the effect size observed in a published pilot study; 160 subjects were recruited (80 allocated to the control group and 80 to the intervention group) from 8 metropolitan community pharmacies located around Perth city center in Western Australia. All participants received standardized smoking cessation advice. The intervention group participants were also digitally photoaged by using the Internet-based APRIL Face Aging software so they could preview images of themselves as a lifelong smoker and as a nonsmoker. Due to the nature of the intervention, the participants and researcher could not be blinded to the study. The main outcome measure was quit attempts at 6-month follow-up, both self-reported and biochemically validated through testing for carbon monoxide (CO), and nicotine dependence assessed via the Fagerström scale.

Results:
At 6-month follow-up, 5 of 80 control group participants (6.3%) suggested they had quit smoking, but only 1 of 80 control group participants (1.3%) consented to, and was confirmed by, CO validation. In the intervention group, 22 of 80 participants (27.5%) reported quitting, with 11 of 80 participants (13.8%) confirmed by CO testing. This difference in biochemically confirmed quit attempts was statistically significant (χ21=9.0, P=.003). A repeated measures analysis suggested the average intervention group smoking dependence score had also significantly dropped compared to control participants (P<.001). These differences remained statistically significant after adjustment for small differences in gender distribution and nicotine dependence between the groups. The mean cost of implementing the intervention was estimated at AU $5.79 per participant. The incremental cost-effectiveness ratio was AU $46 per additional quitter. The mean cost that participants indicated they were willing to pay for the digital aging service was AU $20.25 (SD 15.32).

Conclusions:
Demonstrating the detrimental effects on facial physical appearance by using a computer-generated simulation may be both effective and cost-effective at persuading young adult smokers to quit.",10.2196/jmir.2337,Public Health; Smoking,,,,,,,,,,,,Original database,,,,Public Health,Full study with results.,Randomized controlled trial (RCT),Randomised Controlled Trial (RCT),160,"Yes, the study showed statistically significant results. The intervention group had a significantly"
"Johnson et al.,","Meeting The Challenge? Transitions Out Of 
Long-Term Homelessness. A Randomised Controlled Trial Examining The 24-Month Costs, Benefits And Social Outcomes From The Journey To Social Inclusion Pilot Program",2012,"Journey to Social Inclusion (J2SI) is a pilot project designed to break the cycle of long-term homelessness. The project provides intensive support for up to three years to assist people who are long-term homeless receive the range of services they need. This is the second of four reports evaluating the J2SI project. It documents the social outcomes and the economic costs and benefits from the first 24 months. The evaluation uses a randomised controlled trial that tracks the outcomes of J2SI participants (Group J) and compares their outcomes with those of a comparison group (Group E) who are being supported by existing services. After 24 months the evidence shows a sustained improvement in the housing circumstances of the J2SI participants compared to those in the control group. Critically, most (86%) have maintained their housing. While the move to independent housing was difficult in the beginning, the high rate of housing retention suggests that most of the participants are developing the skills and confidence needed to keep their housing. The report contains the results of a cost-benefit analysis of the program after 2 years of operation. The evaluation was conducted by researchers from RMIT University and the Melbourne Institute of Applied Economic and Social Research. Authors: Guy Johnson, Daniel Kuehnle, Sharon Parkinson, Yi-Ping Tseng",,Homelessness,"Sacred Heart Mission 
(NGO)",,,,,,,,,,,Original database,,,,Homelessness Policy,This is a full study with results.,Field experiment,Regular RCT,The sample size is not given.,The description does not explicitly state whether the study showed statistically significant results. It
"Parker et al.,",An Oral Health Literacy Intervention For Indigenous Adults In A Rural Setting In Australia,2012,"Background
Indigenous Australians suffer substantially poorer oral health than their non-Indigenous counterparts and new approaches are needed to address these disparities. Previous work in Port Augusta, South Australia, a regional town with a large Indigenous community, revealed associations between low oral health literacy scores and self-reported oral health outcomes. This study aims to determine if implementation of a functional, context-specific oral health literacy intervention improves oral health literacy-related outcomes measured by use of dental services, and assessment of oral health knowledge, oral health self-care and oral health- related self-efficacy.
Methods/design
This is a randomised controlled trial (RCT) that utilises a delayed intervention design. Participants are Indigenous adults, aged 18 years and older, who plan to reside in Port Augusta or a nearby community for the next two years. The intervention group will receive the intervention from the outset of the study while the control group will be offered the intervention 12 months following their enrolment in the study. The intervention consists of a series of five culturally sensitive, oral health education workshops delivered over a 12 month period by Indigenous project officers. Workshops consist of presentations, hands-on activities, interactive displays, group discussions and role plays. The themes addressed in the workshops are underpinned by oral health literacy concepts, and incorporate oral health-related self-efficacy, oral health-related fatalism, oral health knowledge, access to dental care and rights and entitlements as a patient. Data will be collected through a self-report questionnaire at baseline, at 12 months and at 24 months. The primary outcome measure is oral health literacy. Secondary outcome measures include oral health knowledge, oral health self-care, use of dental services, oral health-related self-efficacy and oral health-related fatalism.
Discussion
This study uses a functional, context-specific oral health literacy intervention to improve oral health literacy-related outcomes amongst rural-dwelling Indigenous adults. Outcomes of this study will have implications for policy and planning by providing evidence for the effectiveness of such interventions as well as provide a model for working with Indigenous communities.",10.1186/1471-2458-12-461,"Public Health
Indigenous Affairs",,,,,,,,,,,,Original database,,,,Health Policy,This is a protocol / pre-analysis plan.,Field experiment,Randomised controlled trial (RCT) with a delayed intervention design.,The sample size is not given.,The description provided does not include the results of the study or indicate whether the
"Taft et al.,","Mothers‚Äô AdvocateS In the Community (MOSAIC)
- non-professional mentor support to reduce intimate 
partner violence and depression in mothers: a cluster 
randomised trial in primary care.",2011,"BACKGROUND: Effective interventions to increase safety and wellbeing of mothers experiencing intimate partner violence (IPV) are scarce. As much attention is focussed on professional intervention, this study aimed to determine the effectiveness of non-professional mentor support in reducing IPV and depression among pregnant and recent mothers experiencing, or at risk of IPV.

METHODS: MOSAIC was a cluster randomised trial in 106 primary care (maternal and child health nurse and general practitioner) clinics in Melbourne, Australia. 63/106 clinics referred 215 eligible culturally and linguistically diverse women between January 2006 and December 2007. 167 in the intervention (I) arm, and 91 in the comparison (C) arm. 174 (80.9%) were recruited. 133 (76.4%) women (90 I and 43 C) completed follow-up at 12 months.

INTERVENTION: 12 months of weekly home visiting from trained and supervised local mothers, (English & Vietnamese speaking) offering non-professional befriending, advocacy, parenting support and referrals.

MAIN OUTCOME MEASURES: Primary outcomes; IPV (Composite Abuse Scale CAS) and depression (Edinburgh Postnatal Depression Scale EPDS); secondary measures included wellbeing (SF-36), parenting stress (PSI-SF) and social support (MOS-SF) at baseline and follow-up.

ANALYSIS: Intention-to-treat using multivariable logistic regression and propensity scoring.

RESULTS: There was evidence of a true difference in mean abuse scores at follow-up in the intervention compared with the comparison arm (15.9 vs 21.8, AdjDiff -8.67, CI -16.2 to -1.15). There was weak evidence for other outcomes, but a trend was evident favouring the intervention: proportions of women with CAS scores ‚â• 7, 51/88 (58.4%) vs 27/42 (64.3%) AdjOR 0.47, CI 0.21 to 1.05); depression (EPDS score ‚â• 13) (19/85, 22% (I) vs 14/43, 33% (C); AdjOR 0.42, CI 0.17 to 1.06); physical wellbeing mean scores (PCS-SF36: AdjDiff 2.79; CI -0.40 to 5.99); mental wellbeing mean scores (MCS-SF36: AdjDiff 2.26; CI -1.48 to 6.00). There was no observed effect on parenting stress. 82% of women mentored would recommend mentors to friends in similar situations.

CONCLUSION: Non-professional mentor mother support appears promising for improving safety and enhancing physical and mental wellbeing among mothers experiencing intimate partner violence referred from primary care.",,"Domestic 
Violence","Women's Health West, 
Berry Street, Domestic 
Violence Resource 
Centre Victoria, and the 
MOSAIC Reference 
Group",,,,,,,,,,,Original database,,,,Public Health,Full study with results.,Field experiment,A clustered RCT,174,The study showed statistically significant results for the reduction in mean abuse scores at follow
"Sherman et al.,",Experiments in restorative policing: Final report - Canberra Reintegrative Shaming Experiments (RISE),2011,"This report describes the results of the first three years‚Äô research on the largest criminological field
experiment ever conducted in Australia, and one of the largest world-wide. RISE, the
Reintegrative Shaming Experiments, compare the effects of standard court processing with the
effects of a diversionary conference for four kinds of cases:
‚Ä¢ drink driving (over .08 Blood Alcohol Content) at any age
‚Ä¢ juvenile property offending with personal victims
‚Ä¢ juvenile shoplifting offences detected by store security officers
‚Ä¢ youth violent crimes (under age 30)
The diversionary conferences consisted of a meeting between the offender and at least some
family or friends of the offender, the usual presence of the victim or (in the case of drink driving)
a community representative, and a police officer who facilitated the meeting. These often highly
emotional meetings, which took roughly 90 minutes (compared to around ten minutes for court
cases), addressed these issues in this order:
‚Ä¢ what the offender did
‚Ä¢ the harm it caused
‚Ä¢ the worse harm it could have caused
‚Ä¢ ways to repair the harm
‚Ä¢ a written agreement between police and offender on exactly what the offender will do to
repair the harm
These are the three central hypotheses of the experiment:
1. Both offenders and victims find conferences to be fairer than court
2. There will be less repeat offending after a conference than after a court treatment.
3. The public costs of providing a conference are no greater than, and perhaps less than, the
costs of processing offenders in court.
The present report addresses only the first of the three hypotheses. Data on the second and third
hypotheses are still being collected, and insufficient data are presently available on those
hypotheses to produce even a preliminary report. All findings described in this report are also
subject to modification as additional data are collected and analysed.
The findings from direct treatment observations are based upon the completion of at least one
independent observation report for 86 percent of drink driving offenders, 66 percent of Juvenile
Personal Property offenders, 75 percent of Juvenile Property (Security) offenders, and 68 percent
of Youth Violent Crime offenders. The findings from offender interviews are based upon
completion rates of 85 percent for drink driving offenders, 76 percent of Juvenile Personal
Property offenders, 73 percent of Juvenile Property (Security) offenders, and 72 percent of Youth
Violent Crime offenders. The findings from victim interviews are based upon completion rates of
87 percent for Juvenile Personal Property victims and 82 percent of Violent Crime victims.
ii EXECUTIVE SUMMARY
The following summarises the key findings from the experiment to date:
1. The Experimental Sample Is A Highly Active Group of Repeat Offenders
At the time that the more than 1100 offenders in this experiment were referred by police officers
after an arrest, the offenders self-reported the following levels of offending:
‚Ä¢ Drink drivers admit to an average of 19 occasions of drink driving in the year preceding their
RISE offence.
‚Ä¢ Eighty percent of all drink drivers in the sample admit to at least one prior occasion of drink
driving in the preceding year.
‚Ä¢ Juvenile personal property offenders admitted to around 50 prior offences in the year before
entering RISE, most of them property crimes, with an average of two police contacts.
‚Ä¢ Seventy percent of juvenile personal property offenders admitted to prior property offending
and over half to prior violent offending in the preceding year.
‚Ä¢ Juvenile property (security) offenders admit to about 40 offences in the preceding year, mostly
property crimes, with an average of one police contact.
‚Ä¢ Youth Violence Offenders admitted to about 22 offences in the preceding year, including an
average of two violent offences and an average of one prior police contact for a violent offence.
2. The Offender Sample Uses Alcohol and Marijuana at High Rates
‚Ä¢ The average BAC of drink drivers in the experiment was .12.
‚Ä¢ Half of the drink driving offenders report using marijuana on occasion; 15% are daily marijuana
users
‚Ä¢ Almost no drink drivers admitted using heroin or cocaine
‚Ä¢ More than half of the juvenile and youth offenders report using alcohol 2-3 days per month or
less
‚Ä¢ Over half of the juvenile and youth offenders report using marijuana at least occasionally, and
some regularly.
3. Victims Suffered Substantial Harm
‚Ä¢ Medical treatment was required because of the offences against 62 percent of the youth violence
victims, almost all of them in a hospital emergency centre.
‚Ä¢ About seventy percent of property crime victims suffered financial harm.
‚Ä¢ Emotional harm commonly included increased suspicion and fear.
4. Conferences Treated Victims Better Than Court
‚Ä¢ Property crime victims were notified in good time for 77% of the conferences but only 15% of
the court cases.
‚Ä¢ Violent crime victims were notified in good time for 75% of the conferences but only 36% of
the court cases.
EXECUTIVE SUMMARY iii
‚Ä¢ In 81% of the property crime conferences but only 5% of the property court appearances, the
victim was present at the proceedings.
‚Ä¢ In violence cases, 91% of the victims were in attendance at conference cases but only 13% were
present at the court cases.
‚Ä¢ Victims received apologies from offenders in none of the court proceedings, but victims whose
cases were heard at conference received apologies in 67% of the property cases and 82% of the
violence cases.
5. Conferences Differed From Court In Many Ways
Based on systematic observations of both court and conference by independent observers, great
differences were found on the following dimensions:
‚Ä¢ Time and effort given to justice: much more for conferences than court
‚Ä¢ Participants: many more in conferences
‚Ä¢ Emotional intensity: greater in conferences
‚Ä¢ Procedural justice: greater in conferences
‚Ä¢ Restorative justice: greater in conferences
‚Ä¢ Retributive justice: greater in court
‚Ä¢ Reintegrative shaming: greater in conferences
‚Ä¢ Stigmatic shaming: greater in conferences
‚Ä¢ Defiance: somewhat greater in conferences
‚Ä¢ Apologies: many in conferences, none in court
‚Ä¢ Forgiveness: much more in conferences
‚Ä¢ Discussion of drug and alcohol problems: more in conferences.
6. Offenders Found Conferences More Stressful Than Court
‚Ä¢ Conferences are more emotionally intense for offenders than court
‚Ä¢ Drink drivers report significantly higher levels of embarrassment and shame from being
criticised in conferences than in court.
7. Most Victims Said Conferences Were Fairer Than Court
‚Ä¢ Victims' sense of restorative justice was higher among conference victims than court victims.
‚Ä¢ Victims sense of procedural fairness was high among conference victims, but not measurable
among court victims because they so rarely attended proceedings.
‚Ä¢ Healing of the victims' emotional harm was substantial among conference victims for both
property and violence cases.
‚Ä¢ Reconciliation of the victim and the offender was far greater in conference cases than in court
for both property and violence experiments
iv EXECUTIVE SUMMARY
‚Ä¢ Victims were less likely to fear repeat victimisation by the offender after conference cases than
after court cases.
‚Ä¢ Legitimacy of the law and respect for the police was mixed between different experiments.
Property victims reported higher respect for police after conference cases than after court cases,
although violence victims did not.
‚Ä¢ Satisfaction with the way their case was handled was somewhat greater for conference than
court cases among property victims, but there was no difference among violence victims.
8. Offenders Said Conferences Were Fairer Than Court
‚Ä¢ Offenders reported higher levels of most dimensions of procedural fairness after conferences
than after court.
‚Ä¢ Drink drivers saw the penalty as too hard more often in court than in conference, and were
more often angry after court.
‚Ä¢ Youth and juvenile offenders reported no less sense of retributive punishment in conference than
in court.
‚Ä¢ Offenders reported much higher levels of restorative justice, or the opportunity to repair the
harm they had caused by their crimes, after conferences than after court appearances.
‚Ä¢ Offenders reported more dimensions of reintegrative shaming after conferences than after
court, including a greater sense of forgiveness.
‚Ä¢ Offenders report little evidence of defiance in either treat",,"Police, Justice",Australian Federal Police,,,,,,,,,,,Original database,,,,Restorative Justice,This is a full study with results.,Field experiment,Clustered RCT,1100,The study does not explicitly mention statistically significant results in the provided description. The
"Waters et al.,",An Exploratory Cluster Randomised Controlled Trial Of Knowledge Translation Strategies To Support Evidence-Informed Decision-Making In Local Governments (The Kt4lg Study),2011,"Background
Childhood overweight and obesity is the most prevalent and, arguably, politically complex child health problem internationally. Governments, communities and industry have important roles to play, and are increasingly expected to deliver an evidence-informed system-wide prevention program. However, efforts are impeded by a lack of organisational access to and use of research evidence. This study aims to identify feasible, acceptable and ideally, effective knowledge translation (KT) strategies to increase evidence-informed decision-making in local governments, within the context of childhood obesity prevention as a national policy priority.

Methods/Design
This paper describes the methods for KT4LG, a cluster randomised controlled trial which is exploratory in nature, given the limited evidence base and methodological advances. KT4LG aims to examine a program of KT strategies to increase the use of research evidence in informing public health decisions in local governments. KT4LG will also assess the feasibility and acceptability of the intervention. The intervention program comprises a facilitated program of evidence awareness, access to tailored research evidence, critical appraisal skills development, networking and evidence summaries and will be compared to provision of evidence summaries alone in the control program. 28 local governments were randomised to intervention or control, using computer generated numbers, stratified by budget tertile (high, medium or low). Questionnaires will be used to measure impact, costs, and outcomes, and key informant interviews will be used to examine processes, feasibility, and experiences. Policy tracer studies will be included to examine impact of intervention on policies within relevant government policy documents.

Discussion
Knowledge translation intervention studies with a focus on public health and prevention are very few in number. Thus, this study will provide essential data on the experience of program implementation and evaluation of a system-integrated intervention program employed within the local government public health context. Standardised programs of system, organisational and individual KT strategies have not been described or rigorously evaluated. As such, the findings will make a significant contribution to understanding whether a facilitated program of KT strategies hold promise for facilitating evidence-informed public health decision making within complex multisectoral government organisations.",,"Public Health
Local Government",,,,,,,,,,,,Original database,,,,Public Health,This is a protocol / pre-analysis plan.,Field experiment,A clustered RCT,28,"The description provided is an abstract of a study protocol, not the results of"
